(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(146819, -66, 5);4;ד;146819;(3, 5, 9, 41, 146819);יסוד;4;38723;(3, 5, 9, 11, 38723);11;והזה מדם החטאת על קיר המזבח והנשאר בדם ימצה אל יסוד המזבח חטאת הוא
(146819, -66, 5);6;ו;146753;(3, 5, 8, 37, 146753);ומלק;1;38706;(3, 5, 8, 10, 38706);10;והביא אתם אל הכהן והקריב את אשר לחטאת ראשונה ומלק את ראשו ממול ערפו ולא יבדיל
(146819, -66, 5);50;נ;146687;(3, 5, 7, 44, 146687);שני;2;38689;(3, 5, 7, 15, 38689);15;ואם לא תגיע ידו די שה והביא את אשמו אשר חטא שתי תרים או שני בני יונה ליהוה אחד לחטאת ואחד לעלה
(146819, -66, 5);30;ל;146621;(3, 5, 6, 55, 146621);לחטאת;1;38670;(3, 5, 6, 16, 38670);16;והביא את אשמו ליהוה על חטאתו אשר חטא נקבה מן הצאן כשבה או שעירת עזים לחטאת וכפר עליו הכהן מחטאתו
(146819, -66, 5);4;ד;146555;(3, 5, 5, 23, 146555);והתודה;5;38651;(3, 5, 5, 6, 38651);6;והיה כי יאשם לאחת מאלה והתודה אשר חטא עליה
